"gID";"T";"x";"y";"itemsInCraneID"
0;4711.0;-5;5;2624
0;4903.0;955;5;2624
0;4913.0;955;5;null
0;5105.0;-5;5;null
0;5115.0;-5;5;2625
0;5195.0;395;5;2625
0;5205.0;395;5;null
0;5285.0;-5;5;null
0;5295.0;-5;5;2626
0;5465.0;845;5;2626
0;5475.0;845;5;null
0;5645.0;-5;5;null
0;5655.0;-5;5;2627
0;5737.0;405;5;2627
0;5747.0;405;5;null
0;5829.0;-5;5;null
0;5839.0;-5;5;2628
0;5881.0;205;5;2628
0;5891.0;205;5;null
0;5933.0;-5;5;null
0;5943.0;-5;5;2629
0;5989.0;225;5;2629
0;5999.0;225;5;null
0;6045.0;-5;5;null
0;6055.0;-5;5;2630
0;6147.0;455;5;2630
0;6157.0;455;5;null
0;6249.0;-5;5;null
0;6259.0;-5;5;2631
0;6361.0;505;5;2631
0;6371.0;505;5;null
0;6473.0;-5;5;null
0;6483.0;-5;5;2632
0;6667.0;915;5;2632
0;6677.0;915;5;null
0;6861.0;-5;5;null
0;6871.0;-5;5;2633
0;7013.0;705;5;2633
0;7023.0;705;5;null
0;7165.0;-5;5;null
0;7175.0;-5;5;2634
0;7209.0;165;5;2634
0;7219.0;165;5;null
0;7253.0;-5;5;null
0;7263.0;-5;5;2635
0;7453.0;945;5;2635
0;7463.0;945;5;null
0;7653.0;-5;5;null
0;7663.0;-5;5;2636
0;7793.0;645;5;2636
0;7803.0;645;5;null
0;7933.0;-5;5;null
0;7943.0;-5;5;2637
0;8017.0;365;5;2637
0;8027.0;365;5;null
0;8101.0;-5;5;null
0;8111.0;-5;5;2638
0;8159.0;235;5;2638
0;8169.0;235;5;null
0;8217.0;-5;5;null
0;8227.0;-5;5;2639
0;8409.0;905;5;2639
0;8419.0;905;5;null
0;8601.0;-5;5;null
0;8611.0;-5;5;2640
0;8813.0;1005;5;2640
0;8823.0;1005;5;null
0;8825.0;995;15;null
0;8835.0;995;15;898
0;8837.0;1005;5;898
0;8847.0;1005;5;null
0;8863.0;925;5;null
0;8873.0;925;5;2613
0;8985.0;365;15;2613
0;8995.0;365;15;null
0;9107.0;925;5;null
0;9117.0;925;5;2600
0;9133.0;1005;5;2600
0;9143.0;1005;5;null
0;9275.0;345;35;null
0;9285.0;345;35;2189
0;9417.0;1005;5;2189
0;9427.0;1005;5;null
0;9541.0;435;15;null
0;9551.0;435;15;919
0;9627.0;815;25;919
0;9637.0;815;25;null
0;9713.0;435;15;null
0;9723.0;435;15;859
0;9787.0;115;25;859
0;9797.0;115;25;null
0;9861.0;435;15;null
0;9871.0;435;15;616
0;9939.0;95;25;616
0;9949.0;95;25;null
0;10017.0;435;15;null
0;10027.0;435;15;221
